Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Manama,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,96.6,172,Unhealthy,79.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,90.5,169,Unhealthy,78.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,81.6,164,Unhealthy,71.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,75.7,161,Unhealthy,69.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,70.8,159,Unhealthy,66.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,65.0,156,Unhealthy,60.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,63.5,155,Unhealthy,62.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,64.2,155,Unhealthy,65.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,68.1,158,Unhealthy,72.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,77.0,162,Unhealthy,86.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,90.0,169,Unhealthy,103.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,86.1,167,Unhealthy,85.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,98.6,173,Unhealthy,112.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,98.7,173,Unhealthy,99.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,89.1,168,Unhealthy,78.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,75.6,161,Unhealthy,60.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,64.1,155,Unhealthy,54.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,56.0,151,Unhealthy,48.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,51.5,140,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,58.2,152,Unhealthy,65.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,59.1,153,Unhealthy,60.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,60.0,153,Unhealthy,61.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,60.0,153,Unhealthy,60.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,58.5,153,Unhealthy,57.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,59.7,153,Unhealthy,61.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,63.3,155,Unhealthy,69.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,63.5,155,Unhealthy,66.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,63.3,155,Unhealthy,63.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,71.6,159,Unhealthy,82.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,76.0,162,Unhealthy,82.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,74.4,161,Unhealthy,77.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,74.6,161,Unhealthy,75.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,73.2,160,Unhealthy,70.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,73.5,160,Unhealthy,74.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,73.7,160,Unhealthy,74.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,78.6,163,Unhealthy,89.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,79.2,163,Unhealthy,81.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,82.5,165,Unhealthy,90.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,85.3,166,Unhealthy,91.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,83.1,165,Unhealthy,80.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,83.0,165,Unhealthy,83.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,80.6,164,Unhealthy,73.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,81.7,165,Unhealthy,85.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 08:00 PM,2017,01,02,20,81.4,164,Unhealthy,80.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 09:00 PM,2017,01,02,21,80.6,164,Unhealthy,77.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 10:00 PM,2017,01,02,22,82.3,165,Unhealthy,88.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-02 11:00 PM,2017,01,02,23,85.4,166,Unhealthy,95.0,UG/M3,1 Hr,Valid
Manama,PM2.5 - Principal,2017-01-03 12:00 AM,2017,01,03,00,90.6,169,Unhealthy,102.0,UG/M3,1 Hr,Valid
